Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
119	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_285.fits	1	2.79	3	1	0	0	0.5636033825724746	-2.2222859188617132	3.9055092079490636	0.05542824437737365	-0.004289601605266398	3.9025	0.47143757309634937
120	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_287.fits	1	2.84	3	1	0	0	0.5790179279829093	-2.2994721919527086	4.027967526124245	0.06751160773413654	-0.005585636166928879	3.763	0.1599331595244887
121	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_288.fits	1	2.93	3	1	0	0	0.5829967838759169	-2.2553048657240153	4.191537381045113	0.032376115610131775	-0.00774775083115245	4.0995	0.11354201168397403
122	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_290.fits	1	3.13	3	1	0	0	0.5699755669339523	-2.2269895849034613	3.9572899955277157	0.07151772659543466	-0.0035691671886444484	3.8034	0.3377017465258245
123	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	1	3.62	3	1	0	0	0.5704299329369468	-2.309902085265088	4.120021422438722	-0.011361198040298205	-0.0035326851721739438	4.2592	0.15660235743770395
124	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_305.fits	1	4.6	3	1	0	0	0.5439187461274047	-2.2889960109839818	3.996214366291812	-0.042896142961621725	-0.014222493755584974	4.1368	0.09467866899138662
125	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	1	0.2	4	1	0	0	0.4871014249004154	-1.7674313996964164	2.643087605847067	0.0032872624091540136	0.0062953476864619565	0.912	0.09395194662526463
126	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_070.fits	1	0.68	4	1	0	0	0.5740057153103318	-2.4825038157549515	4.632692100565667	0.1806823392030077	0.016245330946676215	19.987	0.5296784738011833
127	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_080.fits	1	0.78	4	1	0	0	0.6064117798380814	-2.3715766918826557	4.728457303203723	0.14792964132834965	0.027663188365729757	15.446	0.5455251684623573
128	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_100.fits	1	0.98	4	1	0	0	0.5700673145092108	-2.6522894528515337	4.903094856551139	0.1258071617047382	0.004171867231359433	19.998	0.35240714272750523
129	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	4	1	0	0	0.547703127728438	-2.299875382127336	4.438229306089109	0.09839782502205476	0.006952358644885819	14.092	0.39606713945916455
130	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_140.fits	1	1.37	4	1	0	0	0.5731652388595243	-2.5557939803890894	4.890037508716441	0.1525113877825212	0.00724937215745028	19.959	0.45811031622392606
