Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
82	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_090.fits	1	0.88	4	1	0	0	0.5100370064472077	-1.8890093823374536	2.8640403844315534	0.02537152227621849	0.029887426518408897	1.4163	0.22805179124746955
83	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	4	1	0	0	0.5503352661117723	-1.9352929299029138	3.0981356150869166	0.020268808108428592	0.010915113872322883	1.5092	0.19371107179316577
84	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_150.fits	1	1.47	4	1	0	0	0.5269618924110767	-1.9494385468454538	3.04298970771028	0.040717615042965824	0.006927829953668636	1.5636	0.09188818028498595
85	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_180.fits	1	1.76	4	1	0	0	0.5161372707738028	-1.9407382610877448	3.1486125211328546	0.021731030872929828	0.004632708309640084	1.6612	0.13682591005181938
86	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_210.fits	1	2.05	4	1	0	0	0.5454608659997002	-1.9887793058073158	3.1661497562079086	-0.033866264650049376	-0.0013302718542305008	1.709	0.13396233007456887
87	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_240.fits	1	2.35	4	1	0	0	0.48438788112656145	-1.9691389118076452	3.0753657803980077	-0.01477849998765497	-0.0027439855625992077	1.7418	0.06571328711698456
88	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_270.fits	1	2.64	4	2	13.090806794942036	20.419260043440726	0.467450686185787	-1.2168536655003184	1.97267232940166	0.6202234567661127	-0.0033689870889369836	2.9931	0.20555862103792105
89	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_300.fits	1	2.93	4	1	0	0	0.601994525443762	-2.0080819304074677	3.2090640193704036	0.06429029851370159	-0.09545755378448662	1.8292	0.42515408642966146
90	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_320.fits	1	3.13	4	2	7.735466837883814	16.30196663732009	0.5803455718061926	-1.1441829702508592	3.547039928297947	0.117782680464002	-0.0003626830626244378	1.8545	0.47379741037419915
91	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_340.fits	1	3.32	4	1	0	0	0.5860768589759028	-1.3123753648913068	3.3335090008248147	0.10090349070958902	-0.06004970354886405	2.4464	0.6110712048088301
92	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_360.fits	1	3.52	4	1	0	0	0.5869117458428067	-2.0347344586139617	3.310384626888779	0.06507649876912133	-0.10802720407167841	2.1862	0.40261631684917615
93	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_380.fits	1	3.72	4	1	0	0	0.5811246578367542	-2.0336158576004504	3.324676273803138	0.029313005825728128	-0.09513514516124319	2.2521	0.3761104456544095
94	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_400.fits	1	3.91	4	1	0	0	0.5956718875663404	-2.088823932830962	3.3662217570407353	-0.06486223101839311	-0.0818348949870833	2.1767	0.36056476442487395
95	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_420.fits	1	4.11	4	1	0	0	0.5785509156781746	-2.030001172039184	3.189417072351102	-0.04528366757602951	-0.10726285414199205	1.9812	0.09441070263884736
96	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_440.fits	1	4.29	4	1	0	0	0.524781736892201	-1.9991728476072947	3.2994703288026384	-0.05108275731798	-0.10554159926577672	2.2496	0.11721262608554502
